GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sentrius-dataplane,io.sentrius.sso.config.audting,AuditingConfigProvider.AuditingConfigProviderFactory,38,0,6,0,12,0,6,0,3,0
sentrius-dataplane,io.sentrius.sso.config.audting,DefaultAuditConfigProvider,8,0,0,0,3,0,3,0,3,0
sentrius-dataplane,io.sentrius.sso.config.security,KeycloakUserSyncFilter,41,0,2,0,13,0,4,0,3,0
sentrius-dataplane,io.sentrius.sso.core.model.metadata,TerminalRiskIndicator,61,0,0,0,12,0,13,0,13,0
sentrius-dataplane,io.sentrius.sso.core.model.metadata,UserExperienceMetrics,68,0,0,0,13,0,15,0,15,0
sentrius-dataplane,io.sentrius.sso.core.model.metadata,TerminalCommand,61,0,0,0,11,0,15,0,15,0
sentrius-dataplane,io.sentrius.sso.core.model.metadata,TerminalSessionMetadata.TerminalSessionMetadataBuilder,105,0,2,0,1,0,13,0,12,0
sentrius-dataplane,io.sentrius.sso.core.model.metadata,TerminalSessionMetadata,112,0,0,0,14,0,22,0,22,0
sentrius-dataplane,io.sentrius.sso.core.model.metadata,AnalyticsTracking,37,0,0,0,7,0,9,0,9,0
sentrius-dataplane,io.sentrius.sso.core.model.metadata,TerminalBehaviorMetrics,64,0,0,0,12,0,15,0,15,0
sentrius-dataplane,io.sentrius.sso.core.services.terminal,SessionTrackingService,630,0,60,0,135,0,54,0,22,0
sentrius-dataplane,io.sentrius.sso.core.model,WorkHours,71,0,0,0,9,0,13,0,13,0
sentrius-dataplane,io.sentrius.sso.core.model,ProxySession.ProxySessionBuilder,29,0,0,0,1,0,5,0,5,0
sentrius-dataplane,io.sentrius.sso.core.model,ProxyHost.ProxyHostBuilder,55,0,0,0,1,0,8,0,8,0
sentrius-dataplane,io.sentrius.sso.core.model,ConfigurationOption,171,0,30,0,7,0,28,0,13,0
sentrius-dataplane,io.sentrius.sso.core.model,ConfigurationOption.ConfigurationOptionBuilder,36,0,0,0,1,0,6,0,6,0
sentrius-dataplane,io.sentrius.sso.core.model,ApplicationKey.ApplicationKeyBuilder,64,0,2,0,1,0,9,0,8,0
sentrius-dataplane,io.sentrius.sso.core.model,ConnectedSystem,300,0,0,0,34,0,45,0,45,0
sentrius-dataplane,io.sentrius.sso.core.model,NotificationRecipient,6,0,0,0,2,0,1,0,1,0
sentrius-dataplane,io.sentrius.sso.core.model,Notification.NotificationBuilder,75,0,0,0,1,0,10,0,10,0
sentrius-dataplane,io.sentrius.sso.core.model,ApplicationKey,65,0,0,0,9,0,14,0,14,0
sentrius-dataplane,io.sentrius.sso.core.model,DataTableResponse,233,0,34,0,7,0,32,0,15,0
sentrius-dataplane,io.sentrius.sso.core.model,HostSystem.HostSystemBuilder,247,0,0,0,1,0,20,0,20,0
sentrius-dataplane,io.sentrius.sso.core.model,ConnectedSystem.ConnectedSystemBuilder,206,0,8,0,1,0,23,0,19,0
sentrius-dataplane,io.sentrius.sso.core.model,ProxySession,119,0,22,0,5,0,20,0,9,0
sentrius-dataplane,io.sentrius.sso.core.model,ErrorOutput.ErrorOutputBuilder,73,0,0,0,1,0,10,0,10,0
sentrius-dataplane,io.sentrius.sso.core.model,Notification,369,0,64,0,17,0,54,0,22,0
sentrius-dataplane,io.sentrius.sso.core.model,HostSystem.HostSystemBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.core.model,AuditWrapper,23,0,0,0,10,0,5,0,5,0
sentrius-dataplane,io.sentrius.sso.core.model,ContentResponse,55,0,0,0,8,0,11,0,11,0
sentrius-dataplane,io.sentrius.sso.core.model,ErrorOutput,344,0,62,0,11,0,52,0,21,0
sentrius-dataplane,io.sentrius.sso.core.model,NotificationRecipientId,79,0,10,0,11,0,14,0,9,0
sentrius-dataplane,io.sentrius.sso.core.model,ProxyHost,60,0,0,0,9,0,13,0,13,0
sentrius-dataplane,io.sentrius.sso.core.model,ServletResponseType,27,0,0,0,5,0,1,0,1,0
sentrius-dataplane,io.sentrius.sso.core.model,ContentResponse.ContentResponseBuilder,86,0,6,0,1,0,11,0,8,0
sentrius-dataplane,io.sentrius.sso.core.model,HostSystem,1049,0,152,0,62,0,128,0,52,0
sentrius-dataplane,io.sentrius.sso.core.model,KnownHost,31,0,0,0,6,0,9,0,9,0
sentrius-dataplane,io.sentrius.sso.automation.factory,PluginFactory,187,0,6,0,47,0,7,0,4,0
sentrius-dataplane,io.sentrius.sso.automation.factory,AutomationUtil,175,0,22,0,47,0,16,0,5,0
sentrius-dataplane,io.sentrius.sso.core.services.openai,OpenAITerminalService,161,0,14,0,33,0,13,0,6,0
sentrius-dataplane,io.sentrius.sso.core.services.openai,OpenAITwoPartyMonitorService,153,0,12,0,33,0,12,0,6,0
sentrius-dataplane,io.sentrius.sso.core.model.users,NonPersonEntity.NonPersonEntityBuilder,24,0,0,0,1,0,4,0,4,0
sentrius-dataplane,io.sentrius.sso.core.model.users,User.UserBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.core.model.users,UserConfig,139,0,22,0,6,0,24,0,13,0
sentrius-dataplane,io.sentrius.sso.core.model.users,UserSettings.UserSettingsBuilder,209,0,0,0,1,0,25,0,25,0
sentrius-dataplane,io.sentrius.sso.core.model.users,NonPersonEntity,134,0,22,0,7,0,22,0,11,0
sentrius-dataplane,io.sentrius.sso.core.model.users,NonPersonEntity.NonPersonEntityBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.core.model.users,UserSettings,1253,0,204,0,74,0,157,0,55,0
sentrius-dataplane,io.sentrius.sso.core.model.users,UserPublicKey,436,0,78,0,13,0,63,0,24,0
sentrius-dataplane,io.sentrius.sso.core.model.users,User.UserBuilder,59,0,0,0,1,0,8,0,8,0
sentrius-dataplane,io.sentrius.sso.core.model.users,UserConfig.UserConfigBuilder,47,0,4,0,1,0,7,0,5,0
sentrius-dataplane,io.sentrius.sso.core.model.users,User,411,0,56,0,25,0,52,0,24,0
sentrius-dataplane,io.sentrius.sso.core.model.auditing,Rule.RuleBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.core.model.auditing,Rule.RuleBuilder,45,0,0,0,1,0,7,0,7,0
sentrius-dataplane,io.sentrius.sso.core.model.auditing,Rule,95,0,0,0,9,0,14,0,14,0
sentrius-dataplane,io.sentrius.sso.core.controllers,BaseController,128,0,12,0,33,0,14,0,8,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITReason,34,0,0,0,6,0,7,0,7,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITRequest.JITRequestBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITRequestLink,33,0,0,0,6,0,7,0,7,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITOptions,3,0,0,0,1,0,1,0,1,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITStatus.JITStatusBuilder,103,0,6,0,1,0,13,0,10,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITReason.JITReasonBuilder,47,0,2,0,1,0,7,0,6,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITRequest.JITRequestBuilder,54,0,0,0,1,0,8,0,8,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITRequest,73,0,0,0,9,0,10,0,10,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITRequestLink.JITRequestLinkBuilder,46,0,2,0,1,0,7,0,6,0
sentrius-dataplane,io.sentrius.sso.core.model.security.zt,JITStatus,96,0,0,0,11,0,20,0,20,0
sentrius-dataplane,io.sentrius.sso.install.configuration,DatabaseConfiguration,7,0,0,0,2,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.install.configuration,InstallConfiguration.InstallConfigurationBuilder,129,0,8,0,1,0,15,0,11,0
sentrius-dataplane,io.sentrius.sso.install.configuration,InstallConfiguration,55,60,0,0,7,13,8,10,8,10
sentrius-dataplane,io.sentrius.sso.core.config,TimeChecker,129,0,20,0,35,0,18,0,5,0
sentrius-dataplane,io.sentrius.sso.core.config,SystemOptions,760,0,36,0,95,0,90,0,72,0
sentrius-dataplane,io.sentrius.sso.core.config,ThreadSafeDynamicPropertiesService,167,0,8,0,45,0,11,0,7,0
sentrius-dataplane,io.sentrius.sso.core.config,SystemOptions.SystemOptionsBuilder,610,0,48,0,1,0,67,0,43,0
sentrius-dataplane,io.sentrius.sso.core.security,CustomAuthenticationSuccessHandler,33,0,2,0,8,0,3,0,2,0
sentrius-dataplane,io.sentrius.sso.core.security,CustomUserDetails,38,0,0,0,12,0,9,0,9,0
sentrius-dataplane,io.sentrius.sso.core.security,RSAKeyFactory,39,0,0,0,8,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.core.breadcrumbs,BreadcrumbService,247,0,26,0,46,0,23,0,10,0
sentrius-dataplane,io.sentrius.sso.core.services.security,CryptoService,318,0,8,0,75,0,15,0,9,0
sentrius-dataplane,io.sentrius.sso.core.services.security,ZeroTrustAccessTokenService,620,0,94,0,121,0,69,0,22,0
sentrius-dataplane,io.sentrius.sso.core.services.security,IntegrationSecurityTokenService,62,0,0,0,17,0,7,0,7,0
sentrius-dataplane,io.sentrius.sso.core.services.security,CookieService,140,0,14,0,36,0,13,0,6,0
sentrius-dataplane,io.sentrius.sso.core.services.security,AuthService,64,0,0,0,21,0,5,0,5,0
sentrius-dataplane,io.sentrius.sso.core.services.security,ZeroTrustRequestService,835,0,60,0,191,0,62,0,32,0
sentrius-dataplane,io.sentrius.sso.core.services.security,KeyStoreService,336,0,12,0,86,0,20,0,12,0
sentrius-dataplane,io.sentrius.sso.core.services.openai.categorization,TrieNode,14,0,0,0,4,0,1,0,1,0
sentrius-dataplane,io.sentrius.sso.core.services.openai.categorization,CommandCategorizer,172,0,6,0,45,0,11,0,8,0
sentrius-dataplane,io.sentrius.sso.core.services.openai.categorization,CommandTrie,179,0,18,0,36,0,16,0,7,0
sentrius-dataplane,io.sentrius.sso.automation.auditing,AsyncAccessTokenAuditor,122,0,14,0,32,0,12,0,4,0
sentrius-dataplane,io.sentrius.sso.automation.auditing,AccessTokenAuditor,558,0,61,0,122,0,42,0,10,0
sentrius-dataplane,io.sentrius.sso.automation.auditing,AccessTokenEvaluator,13,0,0,0,6,0,4,0,4,0
sentrius-dataplane,io.sentrius.sso.automation.auditing,RuleFactory,89,0,6,0,20,0,6,0,3,0
sentrius-dataplane,io.sentrius.sso.automation.auditing,AllowedExecution,141,0,17,0,32,0,14,0,5,0
sentrius-dataplane,io.sentrius.sso.automation.auditing,Recorder,6,0,0,0,2,0,1,0,1,0
sentrius-dataplane,io.sentrius.sso.automation.auditing,BaseAccessTokenAuditor,169,0,12,0,53,0,23,0,15,0
sentrius-dataplane,io.sentrius.sso.automation.auditing,SessionTokenEvaluator,12,0,0,0,4,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.core.repository,TimeConfigRepository,3,0,0,0,1,0,1,0,1,0
sentrius-dataplane,io.sentrius.sso.core.data.specification,HostGroupSpecification,91,0,10,0,14,0,10,0,5,0
sentrius-dataplane,io.sentrius.sso.core.integrations.external,ExternalIntegrationDTO.ExternalIntegrationDTOBuilder,100,0,2,0,1,0,13,0,12,0
sentrius-dataplane,io.sentrius.sso.core.integrations.external,ExternalIntegrationDTO,488,0,80,0,28,0,68,0,28,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,AllowedCommandsRule,109,0,10,0,23,0,10,0,5,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,RuleConfiguration,8,0,0,0,1,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,OpenAISessionRule,196,0,14,0,53,0,19,0,12,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,CommandEvaluator,210,0,25,0,48,0,18,0,5,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,RuleConfiguration.RuleConfigurationBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,RuleConfiguration.RuleConfigurationBuilder,7,0,0,0,1,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,TicketSessionRule,52,0,2,0,18,0,12,0,11,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,DeletePrevention,51,0,4,0,14,0,5,0,3,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,SudoPrevention,47,0,6,0,13,0,6,0,3,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,TwoPartySessionRule,77,0,8,0,20,0,14,0,10,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,SudoApproval,20,0,0,0,7,0,2,0,2,0
sentrius-dataplane,io.sentrius.sso.automation.auditing.rules,TwoPartyAIMonitor,541,0,62,0,114,0,44,0,13,0
sentrius-dataplane,io.sentrius.sso.core.model.automation,AutomationExecution.AutomationExecutionBuilder,57,0,0,0,1,0,8,0,8,0
sentrius-dataplane,io.sentrius.sso.core.model.automation,AutomationExecution,260,0,46,0,9,0,40,0,17,0
sentrius-dataplane,io.sentrius.sso.core.model.automation,AutomationShare,169,0,30,0,6,0,27,0,12,0
sentrius-dataplane,io.sentrius.sso.core.model.automation,AutomationCronEntry,211,0,38,0,7,0,33,0,14,0
