GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sentrius-llm-core,io.sentrius.sso.genai.model.endpoints,ConversationRequest.ConversationRequestBuilder,42,0,0,0,1,0,5,0,5,0
sentrius-llm-core,io.sentrius.sso.genai.model.endpoints,ConversationRequest,308,0,46,0,19,0,40,0,17,0
sentrius-llm-core,io.sentrius.sso.genai.model.endpoints,ConversationRequest.ConversationRequestBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-llm-core,io.sentrius.sso.genai.model.endpoints,ChatApiEndpointRequest.ChatApiEndpointRequestBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-llm-core,io.sentrius.sso.genai.model.endpoints,ChatApiEndpointRequest.ChatApiEndpointRequestBuilder,18,0,0,0,1,0,3,0,3,0
sentrius-llm-core,io.sentrius.sso.genai.model.endpoints,RawConversationRequest,210,0,36,0,7,0,35,0,17,0
sentrius-llm-core,io.sentrius.sso.genai.model.endpoints,RawConversationRequest.RawConversationRequestBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-llm-core,io.sentrius.sso.genai.model.endpoints,ChatApiEndpointRequest,175,0,28,0,15,0,25,0,11,0
sentrius-llm-core,io.sentrius.sso.genai.model.endpoints,RawConversationRequest.RawConversationRequestBuilder,42,0,0,0,1,0,5,0,5,0
sentrius-llm-core,io.sentrius.sso.genai,Response,401,0,70,0,13,0,60,0,25,0
sentrius-llm-core,io.sentrius.sso.genai,Response.Choice,196,0,38,0,5,0,32,0,13,0
sentrius-llm-core,io.sentrius.sso.genai,Message.MessageBuilder,36,0,0,0,1,0,6,0,6,0
sentrius-llm-core,io.sentrius.sso.genai,Message,171,0,30,0,7,0,28,0,13,0
sentrius-llm-core,io.sentrius.sso.genai,Response.Usage,155,0,30,0,4,0,26,0,11,0
sentrius-llm-core,io.sentrius.sso.genai,Response.ResponseBuilder,83,0,0,0,1,0,11,0,11,0
sentrius-llm-core,io.sentrius.sso.genai.api,BaseGenerativeRequest.BaseGenerativeRequestBuilder,38,0,0,0,1,0,6,0,6,0
sentrius-llm-core,io.sentrius.sso.genai.api,BaseGenerativeRequest,135,0,22,0,6,0,22,0,11,0
sentrius-llm-core,io.sentrius.sso.genai.model,LLMRequest.LLMRequestBuilder,151,0,0,0,1,0,14,0,14,0
sentrius-llm-core,io.sentrius.sso.genai.model,LLMResponse.LLMResponseBuilder,55,0,2,0,1,0,8,0,7,0
sentrius-llm-core,io.sentrius.sso.genai.model,Conversation,218,0,38,0,7,0,34,0,15,0
sentrius-llm-core,io.sentrius.sso.genai.model,ApiEndPointRequest,203,0,34,0,6,0,31,0,14,0
sentrius-llm-core,io.sentrius.sso.genai.model,LLMRequest.LLMRequestBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-llm-core,io.sentrius.sso.genai.model,TwoPartyRequest,45,0,0,0,7,0,9,0,9,0
sentrius-llm-core,io.sentrius.sso.genai.model,ApiEndPointRequest.ApiEndPointRequestBuilder,67,0,0,0,1,0,8,0,8,0
sentrius-llm-core,io.sentrius.sso.genai.model,LLMRequest,525,0,86,0,14,0,72,0,29,0
sentrius-llm-core,io.sentrius.sso.genai.model,TwoPartyRequest.TwoPartyRequestBuilder,73,0,2,0,1,0,10,0,9,0
sentrius-llm-core,io.sentrius.sso.genai.model,ComplianceRule,85,0,14,0,5,0,16,0,9,0
sentrius-llm-core,io.sentrius.sso.genai.model,Conversation.ConversationBuilder,58,0,2,0,1,0,8,0,7,0
sentrius-llm-core,io.sentrius.sso.genai.model,LLMResponse,206,0,34,0,9,0,33,0,16,0
sentrius-llm-core,io.sentrius.sso.genai.model,ComplianceRule.ComplianceRuleBuilder,18,0,0,0,1,0,4,0,4,0
