GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sentrius-llm-dataplane,io.sentrius.sso.core.services.openai.categorization,CommandTrie,179,0,18,0,36,0,16,0,7,0
sentrius-llm-dataplane,io.sentrius.sso.core.services.openai.categorization,CommandCategorizer,172,0,6,0,45,0,11,0,8,0
sentrius-llm-dataplane,io.sentrius.sso.core.services.openai.categorization,TrieNode,14,0,0,0,4,0,1,0,1,0
sentrius-llm-dataplane,io.sentrius.sso.genai,OpenAITwoPartyMonitor,131,0,6,0,28,0,8,0,5,0
sentrius-llm-dataplane,io.sentrius.sso.genai,Response,401,0,70,0,13,0,60,0,25,0
sentrius-llm-dataplane,io.sentrius.sso.genai,LLMCommandCategorizer,75,0,0,0,15,0,4,0,4,0
sentrius-llm-dataplane,io.sentrius.sso.genai,TerminalLogConfiguration,93,0,14,0,5,0,17,0,10,0
sentrius-llm-dataplane,io.sentrius.sso.genai,TerminalLogConfiguration.TerminalLogConfigurationBuilder,15,0,0,0,1,0,3,0,3,0
sentrius-llm-dataplane,io.sentrius.sso.genai,ChatConversation,118,0,6,0,21,0,7,0,4,0
sentrius-llm-dataplane,io.sentrius.sso.genai,ComplianceScorer,51,0,0,0,13,0,3,0,3,0
sentrius-llm-dataplane,io.sentrius.sso.genai,ComplianceConfiguration.ComplianceConfigurationBuilder,17,0,0,0,1,0,3,0,3,0
sentrius-llm-dataplane,io.sentrius.sso.genai,Response.Choice,196,0,38,0,5,0,32,0,13,0
sentrius-llm-dataplane,io.sentrius.sso.genai,GeneratorConfiguration.GeneratorConfigurationBuilder,47,0,4,0,1,0,7,0,5,0
sentrius-llm-dataplane,io.sentrius.sso.genai,DataGenerator,12,0,0,0,5,0,1,0,1,0
sentrius-llm-dataplane,io.sentrius.sso.genai,ComplianceConfiguration,107,0,16,0,5,0,19,0,11,0
sentrius-llm-dataplane,io.sentrius.sso.genai,TerminalLogConfiguration.TerminalLogConfigurationBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-llm-dataplane,io.sentrius.sso.genai,Response.Usage,155,0,30,0,4,0,26,0,11,0
sentrius-llm-dataplane,io.sentrius.sso.genai,Response.ResponseBuilder,83,0,0,0,1,0,11,0,11,0
sentrius-llm-dataplane,io.sentrius.sso.genai,GenerativeAPI,140,0,4,0,29,0,8,0,6,0
sentrius-llm-dataplane,io.sentrius.sso.genai,ComplianceConfiguration.ComplianceConfigurationBuilderImpl,7,0,0,0,1,0,2,0,2,0
sentrius-llm-dataplane,io.sentrius.sso.genai,GeneratorConfiguration,104,0,10,0,6,0,18,0,13,0
sentrius-llm-dataplane,io.sentrius.sso.genai,TerminalComplianceScorer,36,0,2,0,8,0,3,0,2,0
sentrius-llm-dataplane,io.sentrius.sso.core.services.openai,OpenAITerminalService,161,0,14,0,33,0,13,0,6,0
sentrius-llm-dataplane,io.sentrius.sso.core.services.openai,OpenAITwoPartyMonitorService,153,0,12,0,33,0,12,0,6,0
sentrius-llm-dataplane,io.sentrius.sso.genai.spring.ai,AgentCommunicationMemoryStore,107,0,8,0,26,0,9,0,5,0
sentrius-llm-dataplane,io.sentrius.sso.automation.auditing.rules,OpenAISessionRule,196,0,14,0,53,0,19,0,12,0
sentrius-llm-dataplane,io.sentrius.sso.automation.auditing.rules,TwoPartyAIMonitor,541,0,62,0,114,0,44,0,13,0
sentrius-llm-dataplane,io.sentrius.sso.genai.suggestions,TerminalSuggestors,131,0,6,0,28,0,8,0,5,0
